season,season_type,player_id,team,player_name,player_display_name,games,position,position_group,headshot_url,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_att,gwfg_distance_list,gwfg_made,gwfg_missed,gwfg_blocked
1999,REG+POST,00-0004091,CLE,P.Dawson,Phil Dawson,15,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",8,12,4,0,49,0.667,0,2,3,3,0,0,0,0,2,2,0,0,41;49;33;47;25;39;23;33,38;46;38;45,,290,167,0,23,24,0,1,0.958,1,39,1,0,0
1999,REG+POST,00-0004147,TEN,,Al Del Greco,20,K,SPEC,,29,36,6,1,50,0.806,1,9,10,8,1,0,0,0,2,4,0,0,50;33;35;44;48;21;22;28;19;27;26;27;31;39;33;38;27;43;30;20;42;40;36;49;37;25;43;34;43,44;42;33;37;43;47,47,990,246,47,51,51,0,0,1,2,33;33,1,1,0
1999,REG+POST,00-0004811,DEN,,Jason Elam,16,K,SPEC,,29,36,6,1,55,0.806,1,8,7,8,5,0,0,0,1,2,2,1,50;44;26;51;48;47;26;20;40;28;30;19;44;55;41;24;25;30;24;38;53;39;40;28;46;33;32;37;50,41;53;59;37;64;45,44,1068,299,44,29,29,0,0,1,2,26;59,1,1,0
1999,REG+POST,00-0006181,DAL,,Toby Gowin,3,P,SPEC,,0,2,2,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,,24;57,,0,81,0,8,8,0,0,1,0,,,,
1999,REG+POST,00-0006182,CHI,,Brian Gowins,2,K,SPEC,,4,6,2,0,43,0.667,0,3,0,1,0,0,0,0,0,1,1,0,21;24;29;43,50;48,,117,98,0,3,3,0,0,1,1,48,0,1,0
1999,REG+POST,00-0006223,TB,,Martin Gramatica,17,K,SPEC,,29,34,3,2,53,0.853,0,10,10,6,3,0,0,0,1,1,1,0,23;36;51;24;38;35;41;36;36;49;34;49;35;25;24;26;50;53;42;40;37;20;49;28;33;25;33;25;23,43;39;51,36;48,1020,133,84,26,26,0,0,1,0,,,,
1999,REG+POST,00-0006662,NYJ,,John Hall,16,K,SPEC,,27,33,6,0,48,0.818,0,3,17,7,0,0,0,1,0,5,0,0,31;37;34;33;42;45;39;32;37;43;44;33;26;36;33;30;28;31;46;47;33;37;48;23;30;31;35,43;43;29;45;47;49,,964,256,0,27,29,2,0,0.931,1,37,1,0,0
1999,REG+POST,00-0006800,DET,,Jason Hanson,17,K,SPEC,,26,32,6,0,52,0.812,0,8,4,10,4,0,0,0,0,2,4,0,51;49;48;23;20;49;29;30;47;48;29;47;50;29;43;44;46;50;45;37;52;37;25;27;24;39,49;57;53;46;50;58,,1018,313,0,29,30,1,0,0.967,1,48,1,0,0
1999,REG+POST,00-0007622,JAX,,Mike Hollis,18,K,SPEC,,33,41,7,1,50,0.805,0,13,8,11,1,0,0,1,2,4,0,0,41;32;50;42;36;40;31;42;27;41;32;44;21;20;36;24;43;21;27;24;34;28;28;45;32;25;32;49;23;41;27;45;28,49;41;49;48;34;28;39,48,1111,288,48,47,47,0,0,1,1,23,1,0,0
1999,REG+POST,00-0007655,CHI,,Jaret Holmes,1,K,SPEC,,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,39;31,,,70,0,0,,0,,,,0,,,,
1999,REG+POST,00-0007983,LV,,Michael Husted,13,K,SPEC,,20,31,11,0,49,0.645,2,3,7,8,0,0,0,0,4,4,2,1,41;36;37;42;47;47;19;25;32;25;49;34;47;33;44;33;30;18;41;23,47;48;61;53;32;32;37;44;51;32;45,,703,482,0,30,30,0,0,1,3,61;44;44,1,2,0
1999,REG+POST,00-0008080,ARI,,Chris Jacke,16,K,SPEC,,19,27,7,1,49,0.704,0,5,10,4,0,0,0,0,1,3,3,0,31;25;32;31;36;44;38;43;44;24;35;35;49;24;38;39;20;31;23,32;53;42;53;54;44;47,34,642,325,34,26,26,0,0,1,1,31,1,0,0
1999,REG+POST,00-0008231,CHI,,Jeff Jaeger,3,K,SPEC,,2,8,6,0,52,0.25,0,0,0,1,1,0,0,0,2,4,0,0,52;41,48;46;32;49;48;37,,93,260,0,7,7,0,0,1,0,,,,
1999,REG+POST,00-0008593,PHI,,Norm Johnson,15,K,SPEC,,18,26,7,1,49,0.692,0,8,5,5,0,0,0,1,2,2,2,0,25;39;26;32;48;31;28;27;44;28;49;29;20;30;34;29;44;43,26;50;50;42;32;47;39,33,606,286,33,21,21,0,0,1,1,32,1,0,0
1999,REG+POST,00-0009028,CAR,,John Kasay,13,K,SPEC,,22,25,3,0,52,0.88,1,8,6,5,2,0,0,0,0,1,2,0,52;48;21;43;43;42;19;21;30;23;31;51;38;28;33;22;24;44;30;24;20;37,53;52;47,,724,152,0,33,33,0,0,1,0,,,,
1999,REG+POST,00-0010072,GB,,Ryan Longwell,16,K,SPEC,,25,30,2,3,50,0.833,0,8,8,8,1,0,0,0,1,1,0,0,45;24;28;35;34;42;49;38;43;50;46;37;26;38;31;23;33;45;31;23;22;40;26;22;46,45;30,50;28;44,877,75,122,38,38,0,0,1,1,28,0,0,1
1999,REG+POST,00-0010373,MIA,,Olindo Mare,18,K,SPEC,,41,48,6,1,54,0.854,1,9,18,9,4,0,0,0,0,4,2,0,37;39;51;48;44;30;44;26;26;37;27;21;43;20;33;45;45;41;53;37;37;54;21;34;44;46;30;19;23;31;32;24;33;32;21;30;31;37;39;32;50,42;46;43;52;47;54,47,1447,284,47,30,30,0,0,1,1,31,1,0,0
1999,REG+POST,00-0011859,DAL,,Eddie Murray,5,K,SPEC,,8,10,2,0,40,0.8,1,3,3,1,0,0,0,0,1,1,0,0,30;34;33;20;21;27;40;18,49;33,,223,82,0,11,11,0,0,1,0,,,,
1999,REG+POST,00-0011970,LV,,Joe Nedney,3,K,SPEC,,5,7,2,0,52,0.714,0,2,2,0,1,0,0,0,0,1,1,0,26;52;25;38;33,52;44,,174,96,0,13,13,0,0,1,1,33,1,0,0
1999,REG+POST,00-0012742,CIN,,Doug Pelfrey,16,K,SPEC,,18,27,8,1,50,0.667,1,9,6,1,1,0,0,1,5,2,0,0,33;38;40;36;27;26;37;32;29;50;34;19;29;29;29;24;28;28,48;38;31;33;41;32;39;25,20,568,287,20,27,27,0,0,1,0,,,,
1999,REG+POST,00-0012875,SEA,,Todd Peterson,17,K,SPEC,,35,41,6,0,51,0.854,1,10,8,14,2,0,0,0,3,2,1,0,45;51;41;26;38;28;29;45;40;40;21;42;34;19;29;29;45;35;35;43;38;25;28;40;33;40;32;45;31;22;48;25;41;45;50,32;30;48;48;52;38,,1258,248,0,34,34,0,0,1,2,45;25,2,0,0
1999,REG+POST,00-0013699,SF,,Wade Richey,16,K,SPEC,,21,23,1,1,52,0.913,1,7,7,5,1,0,0,0,0,1,0,0,42;33;39;42;43;38;34;40;22;31;26;19;20;52;22;35;47;23;37;29;25,49,39,699,49,39,30,31,1,0,0.968,1,35,1,0,0
