country,year,life_expectancy,gdp_per_capita,population
arg,1858,33.2,2590.0,1353351
arg,1859,33.2,2627.0,1386914
arg,1860,33.2,2664.0,1421333
arg,1861,33.2,2702.0,1457248
arg,1862,33.2,2741.0,1494694
arg,1863,33.2,2780.0,1533731
arg,1864,33.2,2820.0,1574418
arg,1865,33.2,2860.0,1616818
arg,1866,33.2,2901.0,1660998
arg,1867,33.2,2942.0,1707023
arg,1868,33.2,2984.0,1754964
arg,1869,33.2,3027.0,1804894
arg,1870,33.2,3070.0,1856886
arg,1871,33.19,3114.0,1911020
arg,1872,33.19,3158.0,1967375
arg,1873,33.18,3203.0,2017127
arg,1874,33.18,3249.0,2078055
arg,1875,33.17,3295.0,2141528
arg,1876,33.15,3265.0,2207644
arg,1877,33.12,3500.0,2268568
arg,1878,33.1,3217.0,2340590
arg,1879,33.07,3258.0,2415669
arg,1880,33.05,3095.0,2493156
arg,1881,32.94,3049.0,2566334
arg,1882,32.84,3746.0,2648654
arg,1883,32.73,4084.0,2733615
arg,1884,32.63,4247.0,2814774
arg,1885,32.52,4849.0,2905434
arg,1886,32.79,4719.0,2999385
arg,1887,33.07,4894.0,3089624
arg,1888,33.34,5528.0,3190089
arg,1889,33.62,5893.0,3294260
arg,1890,33.89,5225.0,3402273
arg,1891,33.74,4783.0,3514267
arg,1892,33.6,5566.0,3630387
arg,1893,33.45,5725.0,3750784
arg,1894,33.31,6424.0,3875613
arg,1895,33.16,6923.0,4005036
arg,1896,33.86,7445.0,4141299
arg,1897,34.55,5817.0,4284294
arg,1898,35.24,6136.0,4434314
arg,1899,35.93,7036.0,4591641
arg,1900,36.62,5999.0,4756635
arg,1901,37.19,6337.0,4929644
arg,1902,37.76,6031.0,5094954
arg,1903,38.33,6724.0,5285563
arg,1904,38.9,7251.0,5485838
arg,1905,39.47,8010.0,5696234
arg,1906,40.22,8042.0,5914645
arg,1907,40.97,7840.0,6121229
arg,1908,41.72,8245.0,6355959
arg,1909,42.47,8271.0,6599705
arg,1910,43.21,8490.0,6852669
arg,1911,43.74,8249.0,7108577
arg,1912,44.27,8536.0,7381312
arg,1913,44.8,8229.0,7644045
arg,1914,45.33,7001.0,7878423
arg,1915,45.86,6712.0,8069762
arg,1916,46.65,6359.0,8233077
arg,1917,47.43,5695.0,8382047
arg,1918,41.43,6595.0,8530833
arg,1919,49.0,6677.0,8693347
arg,1920,49.79,6998.0,8884894
arg,1921,50.26,6900.0,9117153
arg,1922,50.72,7176.0,9399467
arg,1923,51.19,7678.0,9720491
arg,1924,51.66,7972.0,10050859
arg,1925,52.13,7628.0,10366210
arg,1926,52.45,7720.0,10670216
arg,1927,52.78,7987.0,10978559
arg,1928,53.11,8194.0,11292242
arg,1929,53.44,8279.0,11602921
arg,1930,53.77,7647.0,11898250
arg,1931,53.76,6918.0,12168551
arg,1932,53.75,6509.0,12411154
arg,1933,53.74,6643.0,12633735
arg,1934,53.73,6991.0,12847974
arg,1935,53.72,7113.0,13060544
arg,1936,54.66,7010.0,13279454
arg,1937,55.6,7358.0,13506374
arg,1938,56.54,7216.0,13747976
arg,1939,57.48,7331.0,13974562
arg,1940,58.42,7288.0,14200814
arg,1941,58.99,7509.0,14419057
arg,1942,59.55,7431.0,14655320
arg,1943,60.11,7223.0,14898257
arg,1944,60.68,7880.0,15149203
arg,1945,61.24,7464.0,15408492
arg,1946,61.11,7917.0,15679460
arg,1947,60.99,8572.0,15985468
arg,1948,60.86,8801.0,16346870
arg,1949,60.73,8445.0,16750098
arg,1950,60.62,8317.0,17150336
arg,1951,60.91,8428.0,17507130
arg,1952,61.48,7802.0,17866096
arg,1953,62.01,8033.0,18224150
arg,1954,62.46,8183.0,18579037
arg,1955,62.86,8583.0,18929346
arg,1956,63.21,8641.0,19274528
arg,1957,63.49,8914.0,19614847
arg,1958,63.74,9284.0,19951323
arg,1959,63.92,8512.0,20285531
arg,1960,64.06,9025.0,20619075
arg,1961,64.17,9505.0,20953077
arg,1962,64.25,9191.0,21287682
arg,1963,64.32,8821.0,21621840
arg,1964,64.38,9586.0,21953929
arg,1965,64.46,10314.0,22283390
arg,1966,64.57,10226.0,22608748
arg,1967,64.72,10351.0,22932203
arg,1968,64.89,10652.0,23261278
arg,1969,65.11,11412.0,23605987
arg,1970,65.36,11861.0,23973058
arg,1971,65.65,12156.0,24366439
arg,1972,65.99,12244.0,24782949
arg,1973,66.43,12535.0,25213388
arg,1974,66.79,13045.0,25644506
arg,1975,67.35,12797.0,26066975
arg,1976,67.76,12639.0,26477152
arg,1977,68.2,13299.0,26878565
arg,1978,68.84,12714.0,27277741
arg,1979,69.38,13452.0,27684534
arg,1980,69.85,13500.0,28105888
arg,1981,70.16,12604.0,28543364
arg,1982,70.55,12077.0,28993987
arg,1983,70.62,12442.0,29454738
arg,1984,70.93,12569.0,29920904
arg,1985,71.33,11559.0,30388783
arg,1986,71.6,12280.0,30857244
arg,1987,71.77,12474.0,31326473
arg,1988,71.91,12113.0,31795517
arg,1989,72.05,11139.0,32263561
arg,1990,72.14,10816.0,32729739
arg,1991,72.34,12016.0,33193918
arg,1992,72.5,13266.0,33655151
arg,1993,72.74,13862.0,34110917
arg,1994,73.0,14481.0,34558115
arg,1995,73.12,13894.0,34994814
arg,1996,73.3,14486.0,35419682
arg,1997,73.5,15479.0,35833969
arg,1998,73.71,15895.0,36241590
arg,1999,73.93,15186.0,36648068
arg,2000,74.21,14900.0,37057452
arg,2001,74.38,14086.0,37471509
arg,2002,74.48,12413.0,37889370
arg,2003,74.63,13361.0,38309379
arg,2004,74.9,14410.0,38728696
arg,2005,75.15,15519.0,39145488
arg,2006,75.29,16592.0,39558890
arg,2007,75.32,17901.0,39970224
arg,2008,75.52,18437.0,40382389
arg,2009,75.66,17168.0,40799407
arg,2010,75.82,18712.0,41223889
arg,2011,75.98,19629.0,41656879
arg,2012,76.1,19225.0,42096739
arg,2013,76.22,19482.0,42539925
arg,2014,76.42,18798.0,42981515
arg,2015,76.54,19101.0,43417765
arg,2016,76.65,18479.0,43847430
arg,2017,76.81,18697.0,44271041
arg,2018,76.97,18942.0,44688864
arm,1800,34.0,514.0,413326
arm,1801,34.0,514.0,413326
arm,1802,34.0,514.0,413326
arm,1803,34.0,514.0,413326
arm,1804,34.0,514.0,413326
arm,1805,34.0,514.0,413326
arm,1806,34.0,514.0,413326
arm,1807,34.0,514.0,413326
arm,1808,34.0,514.0,413326
arm,1809,34.0,514.0,413326
arm,1810,34.0,514.0,413326
arm,1811,34.0,515.0,413506
arm,1812,34.0,515.0,413869
arm,1813,34.0,515.0,414415
arm,1814,34.0,515.0,415147
arm,1815,34.0,515.0,416066
arm,1816,34.0,515.0,417173
arm,1817,34.0,515.0,418471
arm,1818,34.0,515.0,419962
arm,1819,34.0,515.0,421646
arm,1820,34.0,515.0,423527
arm,1821,34.0,517.0,425605
arm,1822,34.0,519.0,427883
arm,1823,34.0,521.0,430361
arm,1824,34.0,523.0,433043
arm,1825,34.0,525.0,435930
arm,1826,34.0,527.0,439024
arm,1827,34.0,529.0,442327
arm,1828,34.0,531.0,445840
arm,1829,34.0,533.0,449566
arm,1830,34.0,535.0,453507
arm,1831,34.0,538.0,457664
arm,1832,34.0,540.0,461859
arm,1833,34.0,542.0,466093
arm,1834,34.0,544.0,470365
arm,1835,34.0,546.0,474677
arm,1836,34.0,548.0,479028
arm,1837,34.0,550.0,483419
arm,1838,34.0,552.0,487850
arm,1839,34.0,554.0,492322
arm,1840,34.0,556.0,496835
arm,1841,34.0,559.0,501389
arm,1842,34.0,561.0,505985
arm,1843,34.0,563.0,510623
arm,1844,34.0,565.0,515304
arm,1845,34.0,567.0,520027
arm,1846,34.0,569.0,524794
arm,1847,34.0,572.0,529605
arm,1848,34.0,574.0,534459
arm,1849,34.0,576.0,539358
arm,1850,34.0,578.0,544302
arm,1851,34.0,581.0,549257
arm,1852,34.0,583.0,554257
arm,1853,34.0,585.0,559302
arm,1854,34.0,587.0,564393
arm,1855,34.0,590.0,569531
arm,1856,34.0,592.0,574715
arm,1857,34.0,594.0,579947
arm,1858,34.0,596.0,585226
arm,1859,34.0,599.0,590553
arm,1860,34.0,601.0,595928
arm,1861,34.0,603.0,601353
arm,1862,34.0,606.0,606827
arm,1863,34.0,608.0,612351
arm,1864,33.47,610.0,617925
arm,1865,32.95,613.0,623550
arm,1866,32.42,615.0,629226
arm,1867,31.9,617.0,634953
arm,1868,31.38,620.0,640733
arm,1869,31.42,622.0,646565
arm,1870,31.46,625.0,652451
arm,1871,31.49,627.0,658390
arm,1872,31.51,629.0,664383
arm,1873,31.54,632.0,670245
arm,1874,31.72,634.0,676346
arm,1875,31.89,637.0,682502
arm,1876,32.07,639.0,688715
arm,1877,32.25,642.0,694811
arm,1878,32.43,644.0,701135
arm,1879,32.6,647.0,707517
arm,1880,32.78,649.0,713958
arm,1881,32.96,652.0,720297
arm,1882,33.13,654.0,726853
arm,1883,33.31,657.0,733470
arm,1884,33.48,659.0,740002
arm,1885,33.66,662.0,746738
arm,1886,33.83,635.0,753536
arm,1887,34.01,741.0,760268
arm,1888,34.18,711.0,767189
arm,1889,34.36,660.0,774172
arm,1890,34.53,656.0,781219
arm,1891,34.71,599.0,788330
arm,1892,34.88,655.0,795506
arm,1893,35.05,740.0,802747
arm,1894,35.23,840.0,810054
arm,1895,35.4,776.0,817428
arm,1896,35.57,853.0,824868
arm,1897,35.74,837.0,832377
arm,1898,35.55,857.0,839954
arm,1899,35.36,908.0,847599
arm,1900,35.18,886.0,855315
arm,1901,35.4,906.0,863100
arm,1902,35.62,983.0,870836
